Time,Potsdam Score,Enemy Score,Drago,Ansen,Ian,Theo,Kyle,Tanner,Daniel,Tyler,Kaden,Rhece,Game
6:43,,1,,,,,,,,,,,4
6:30,3,,,,3p made ,assist,,,,,,,4
6:04,2,,assist,2p made,,,,,,,,,4
6:04,,,,1 ft,,,,,,,,,4
,,,,block,,,,,,,,,4
,,,,rebound,,,,,,,,,4
,,,,turnover ,,,,,,,,,4
4:17,,1,,,,rebound,,,,,,,4
,,,2p attempt ,,,,,,,,,,4
,,,,,steal,,,,,,,,4
3:57,1,,,,2 ft,,,,,,,,4
,,,,,steal,,,,,,,,4
,,,,,turnover,,,,,,,,4
,,,,steal,,,,,,,,,4
,,,,2p attempt ,,,,,,,,,4
,,,,rebound,,,,,,,,,4
,,,,,,,,,2p attempt ,,,,4
,,,,,,,,,,,,,4
2:47,,,,Out,,,,,,In,,,4
,,,,,,,,,turnover,,,,4
,,,,steal,,,,,,,,,4
2:34,2,,,,2p made,,,,,,,,4
,,,steal,,,,,,,,,,4
1:50,,,,,,,,,,,,,4
,,,,,3p attempt,,,,,,,,4
1:20,,2,,,,,,,,,,,4
0:52,,,1 ft,,2p attempt,,,,rebound,,,,4
,,,,,steal,,,,2p attempt,,,,4
Q3,,,,,,,,,,,,,4
8:00,,,In,In,In,In,,,In,,,,4
,,,rebound,,3p attempt,turnover,,,,,,,4
6:31,,2,,,,,,,,,,,4
,,,,,3p attempt,,,,,,,,4
,,,,,steal,,,,,,,,4
5:58,1,,,,2 ft,,,,,,,,4
5:41,,3,,,,,,,,,,,4
,,,,,3p attempt,,,,2p attempt,,,,4
,,,,,rebound,,,,,,,,4
5:01,,2,,,,,,,,,,,4
,,,3p attempt,,,rebound,,,,,,,4
,,,,,,2p attempt,,,,,,,4
4:45,2,,,2p made,,,,,,,,,4
4:32,,3,,,,,,,,,,,4
4:17,3,,,,3p made,,,,,,,,4
,,,steal,,,,,,,,,,4
,,,turnover,,,,,,,,,,4
3:41,,3,,,,,,,,,,,4
3:25,3,,assist,,3p made,,,,,,,,4
3:21,,2,,,,,,,,,,,4
